id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
9nUrDQ_REhU6sgcgXFAyfA,aba-chicago-2,Aba,https://s3-media0.fl.yelpcdn.com/bphoto/XXvdxqX4eboq4bjFAq17sw/o.jpg,False,https://www.yelp.com/biz/aba-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,1863,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.4,"['pickup', 'delivery']",$$$,+17736451400,(773) 645-1400,3120.1445058575764,41.8869441,-87.6487949,302 N Green St,Fl 3,,Chicago,60607,US,IL,"['302 N Green St', 'Fl 3', 'Chicago, IL 60607']"
xFBQ1md6PDm7YEpJARoxAA,the-vig-chicago-chicago-2,The VIG Chicago,https://s3-media0.fl.yelpcdn.com/bphoto/LTJQDXJAzGTfUuyRbhsb4A/o.jpg,False,https://www.yelp.com/biz/the-vig-chicago-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,905,"[{'alias': 'tradamerican', 'title': 'American'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.1,"['pickup', 'delivery']",$$,+13129822186,(312) 982-2186,3623.198320643157,41.9099251,-87.6345035,1527 N Wells St,,,Chicago,60610,US,IL,"['1527 N Wells St', 'Chicago, IL 60610']"
1BHgaf25FpVSOXFpZF0pYw,trivoli-tavern-chicago,Trivoli Tavern,https://s3-media0.fl.yelpcdn.com/bphoto/kMNBfN-NjwMPEeAQwo0Qrg/o.jpg,False,https://www.yelp.com/biz/trivoli-tavern-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,840,"[{'alias': 'tradamerican', 'title': 'American'}]",4.5,['delivery'],$$$,+13123662646,(312) 366-2646,3373.2131317248645,41.8837221888722,-87.64903867652058,114 N Green St,,,Chicago,60607,US,IL,"['114 N Green St', 'Chicago, IL 60607']"
tuJraaFffIS_JNK_4ZqGTA,ema-chicago-6,Ema,https://s3-media0.fl.yelpcdn.com/bphoto/A1oqPWLT2zcEKOvYsx9trg/o.jpg,False,https://www.yelp.com/biz/ema-chicago-6?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,1852,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'salad', 'title': 'Salad'}]",4.3,"['pickup', 'delivery']",$$,+13125275586,(312) 527-5586,4189.6572301334145,41.890964390624795,-87.63090253497006,74 W Illinois St,,,Chicago,60654,US,IL,"['74 W Illinois St', 'Chicago, IL 60654']"
okaqMJEoHfHblpKz9Q-CMA,the-perch-chicago,The Perch,https://s3-media0.fl.yelpcdn.com/bphoto/R6fSc6umU6HwvlYoMJI0nA/o.jpg,False,https://www.yelp.com/biz/the-perch-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,582,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'newamerican', 'title': 'New American'}]",4.4,"['pickup', 'delivery']",$$,+17734862739,(773) 486-2739,239.42719598525488,41.90348,-87.676221,1932 W Division,,,Chicago,60622,US,IL,"['1932 W Division', 'Chicago, IL 60622']"
owk55_aszZtVP-SQPyXTIQ,nora-restaurant-chicago,Nora Restaurant,https://s3-media0.fl.yelpcdn.com/bphoto/Zuqqv13uCpgkbBj0859eTA/o.jpg,False,https://www.yelp.com/biz/nora-restaurant-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,180,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'sardinian', 'title': 'Sardinian'}]",4.4,"['pickup', 'delivery']",,+13128014446,(312) 801-4446,4718.8654159812195,41.89356,-87.62287,636 N St Clair St,Fl 1,,Chicago,60611,US,IL,"['636 N St Clair St', 'Fl 1', 'Chicago, IL 60611']"
Z8K7SVH-B7ZVAVD9aFIK8w,bar-mar-by-josé-andrés-chicago-2,Bar Mar,https://s3-media0.fl.yelpcdn.com/bphoto/ZfSYel2Muyh1hAqf6eRYZg/o.jpg,False,https://www.yelp.com/biz/bar-mar-by-jos%C3%A9-andr%C3%A9s-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,557,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.3,[],$$$,+13128206602,(312) 820-6602,4102.904355999825,41.883835,-87.6372458,120 N Wacker Dr,,,Chicago,60606,US,IL,"['120 N Wacker Dr', 'Chicago, IL 60606']"
vvhfPV-Llkd4fE2SHuLVvA,the-gage-chicago,The Gage,https://s3-media0.fl.yelpcdn.com/bphoto/7Do4lNMyib8gpmh74VGV8w/o.jpg,False,https://www.yelp.com/biz/the-gage-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,3629,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.2,"['pickup', 'delivery']",$$,+13123724243,(312) 372-4243,5131.438445540007,41.881369,-87.624698,24 S Michigan Ave,,,Chicago,60603,US,IL,"['24 S Michigan Ave', 'Chicago, IL 60603']"
wfkj7DK8YzhdwhhFc2OntA,giant-chicago-2,Giant,https://s3-media0.fl.yelpcdn.com/bphoto/mC3yWQ4c3VqOUJd6ct66cA/o.jpg,False,https://www.yelp.com/biz/giant-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,738,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.3,['delivery'],$$$,+17732520997,(773) 252-0997,2803.5554542384516,41.9171,-87.70746,3209 W Armitage Ave,,,Chicago,60647,US,IL,"['3209 W Armitage Ave', 'Chicago, IL 60647']"
0VEE9H6OuGaswhC70tjKeQ,beatrix-streeterville-chicago-2,Beatrix - Streeterville,https://s3-media0.fl.yelpcdn.com/bphoto/ndqkY53Re9ygg4szRj41rA/o.jpg,False,https://www.yelp.com/biz/beatrix-streeterville-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,1442,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.3,"['pickup', 'delivery']",$$,+13126420001,(312) 642-0001,4726.0014412716255,41.89439,-87.62261,671 N St Clair St,,,Chicago,60611,US,IL,"['671 N St Clair St', 'Chicago, IL 60611']"
1Q7RL7Hc63wKa2A9ec3zXw,il-porcellino-chicago,Il Porcellino,https://s3-media0.fl.yelpcdn.com/bphoto/y7ul_8c_ODXBeCpS67yl0w/o.jpg,False,https://www.yelp.com/biz/il-porcellino-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,1651,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'salad', 'title': 'Salad'}]",4.4,"['pickup', 'delivery']",$$,+13125950800,(312) 595-0800,4279.188564018985,41.88996108569464,-87.63029733223148,59 W Hubbard St,,,Chicago,60654,US,IL,"['59 W Hubbard St', 'Chicago, IL 60654']"
T_egMuf7xJHLdldzPqOaSQ,qing-xiang-yuan-dumplings-chicago-3,Qing Xiang Yuan Dumplings,https://s3-media0.fl.yelpcdn.com/bphoto/pfIj_fB2xK78kRStzqm1lw/o.jpg,False,https://www.yelp.com/biz/qing-xiang-yuan-dumplings-chicago-3?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,1975,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.4,"['pickup', 'delivery']",$$,+13127991118,(312) 799-1118,6744.533138192748,41.85505,-87.63219,2002 S Wentworth Ave,Ste 103,,Chicago,60616,US,IL,"['2002 S Wentworth Ave', 'Ste 103', 'Chicago, IL 60616']"
ZXsqdTNHSqxBxCXcbmOiLA,bigsuda-chicago,Bigsuda,https://s3-media0.fl.yelpcdn.com/bphoto/uN1TZcp5a1z5v08LD-YiAQ/o.jpg,False,https://www.yelp.com/biz/bigsuda-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,48,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.3,[],,+18722068678,(872) 206-8678,513.3737560038392,41.906445,-87.671742,1362 N Milwaukee Ave,,,Chicago,60622,US,IL,"['1362 N Milwaukee Ave', 'Chicago, IL 60622']"
0EcR5_zMAdyWf96owSBYbw,wolf-and-company-chicago,Wolf & Company,https://s3-media0.fl.yelpcdn.com/bphoto/5qQgk0RJ6VHWrz-3Ytnxtw/o.jpg,False,https://www.yelp.com/biz/wolf-and-company-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,57,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'delis', 'title': 'Delis'}]",4.3,[],,+13126279653,(312) 627-9653,1262.1896946998356,41.91380989193472,-87.68777157055223,1752 N Western Ave,,,Chicago,60647,US,IL,"['1752 N Western Ave', 'Chicago, IL 60647']"
IMZE58oaY-gRlv3qK9BCdw,tuk-tuk-thai-isan-street-food-chicago,Tuk Tuk Thai Isan Street Food,https://s3-media0.fl.yelpcdn.com/bphoto/FA-7WKdb4uVceyaN6F91Mw/o.jpg,False,https://www.yelp.com/biz/tuk-tuk-thai-isan-street-food-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,287,"[{'alias': 'thai', 'title': 'Thai'}]",4.4,"['pickup', 'delivery']",$$,+17736619739,(773) 661-9739,4143.974916968981,41.934138,-87.64626,2852 N Clark St,,,Chicago,60657,US,IL,"['2852 N Clark St', 'Chicago, IL 60657']"
o0DaPvRb4IWH7hUWVCnoGw,monteverde-chicago,Monteverde,https://s3-media0.fl.yelpcdn.com/bphoto/GxOAdPGT7BJ7K-QJKUqQJA/o.jpg,False,https://www.yelp.com/biz/monteverde-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,1441,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,['delivery'],$$$,+13128883041,(312) 888-3041,3311.214645612105,41.88191,-87.65302,1020 W Madison St,,,Chicago,60607,US,IL,"['1020 W Madison St', 'Chicago, IL 60607']"
apyIymDFbUK7u-Y3V5kmkA,bavettes-bar-and-boeuf-chicago,Bavette's Bar & Boeuf,https://s3-media0.fl.yelpcdn.com/bphoto/6AEU2Jw5uJXxCNpc3Qfruw/o.jpg,False,https://www.yelp.com/biz/bavettes-bar-and-boeuf-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,3393,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,['delivery'],$$$$,+13126248154,(312) 624-8154,3965.6928058367052,41.889295011779424,-87.63489302317039,218 W Kinzie,,,Chicago,60654,US,IL,"['218 W Kinzie', 'Chicago, IL 60654']"
cKZNbMvoqJaUe7n6lf6i7w,wildberry-pancakes-and-cafe-chicago-2,Wildberry Pancakes and Cafe,https://s3-media0.fl.yelpcdn.com/bphoto/fC7yhbqNipZWyrsxqi8MCA/o.jpg,False,https://www.yelp.com/biz/wildberry-pancakes-and-cafe-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,10096,"[{'alias': 'pancakes', 'title': 'Pancakes'}, {'alias': 'waffles', 'title': 'Waffles'}, {'alias': 'cafes', 'title': 'Cafes'}]",4.4,"['pickup', 'delivery']",$$,+13129389777,(312) 938-9777,5058.474914817182,41.884944,-87.623143,130 E Randolph St,,,Chicago,60601,US,IL,"['130 E Randolph St', 'Chicago, IL 60601']"
W2QV6SILHer3qB_-CZ1z1A,etta-bucktown-chicago,etta - Bucktown,https://s3-media0.fl.yelpcdn.com/bphoto/fF30NKwCeXY4pjIHlkGj9g/o.jpg,False,https://www.yelp.com/biz/etta-bucktown-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,1131,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'newamerican', 'title': 'New American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.2,"['pickup', 'delivery']",$$$,+17737302277,(773) 730-2277,669.6763838223678,41.910731,-87.674285,1840 W North Ave,,,Chicago,60622,US,IL,"['1840 W North Ave', 'Chicago, IL 60622']"
faOpq9ORL0FlsMrou2NYug,amaru-chicago,Amaru,https://s3-media0.fl.yelpcdn.com/bphoto/S0Uh9xyXcQVwJYrO6pL6hQ/o.jpg,False,https://www.yelp.com/biz/amaru-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,452,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.7,[],$$$,+17736879790,(773) 687-9790,628.4117946560697,41.91071,-87.67536,1904 W North Ave,,,Chicago,60622,US,IL,"['1904 W North Ave', 'Chicago, IL 60622']"
PdbRfCs6fHZacu6L_5oHnA,bistro-monadnock-chicago,Bistro Monadnock,https://s3-media0.fl.yelpcdn.com/bphoto/o-0P_GawlCED_9XHYlkKsg/o.jpg,False,https://www.yelp.com/biz/bistro-monadnock-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,145,"[{'alias': 'french', 'title': 'French'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.7,[],,+13129457040,(312) 945-7040,5041.322422864629,41.877754,-87.629628,325 S Federal St,,,Chicago,60604,US,IL,"['325 S Federal St', 'Chicago, IL 60604']"
m5gfWEQI7BYTKWMYF-X-Ug,no-vacancy-chicago,No Vacancy,https://s3-media0.fl.yelpcdn.com/bphoto/DGPkD5pTu95tAQSRUAR0iA/o.jpg,False,https://www.yelp.com/biz/no-vacancy-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,149,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.6,[],$$,+13125006666,(312) 500-6666,3968.446681064761,41.89115,-87.63375,509 N Wells St,,,Chicago,60654,US,IL,"['509 N Wells St', 'Chicago, IL 60654']"
apo9fX6Opmr2Z87sm-_cfg,all-together-now-chicago,All Together Now,https://s3-media0.fl.yelpcdn.com/bphoto/hSbwdb4wT2vll4oDyXytkA/o.jpg,False,https://www.yelp.com/biz/all-together-now-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,135,"[{'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'newamerican', 'title': 'New American'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",4.5,"['pickup', 'delivery']",$$,+17736611599,(773) 661-1599,1090.5539181025072,41.89555,-87.68051,2119 West Chicago Ave,,,Chicago,60622,US,IL,"['2119 West Chicago Ave', 'Chicago, IL 60622']"
n5jRD0dlY6Dl672THS7yFA,mister-tiger-chicago,Mister Tiger,https://s3-media0.fl.yelpcdn.com/bphoto/nBGQQx_01FaL5bqywu9loA/o.jpg,False,https://www.yelp.com/biz/mister-tiger-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,55,"[{'alias': 'korean', 'title': 'Korean'}]",4.6,[],,+13122195211,(312) 219-5211,2377.173880885762,41.89129,-87.65596,1132 W Grand Ave,,,Chicago,60642,US,IL,"['1132 W Grand Ave', 'Chicago, IL 60642']"
Z45eQgbnFWH--PYPLTFhNg,void-chicago,Void,https://s3-media0.fl.yelpcdn.com/bphoto/tQ81CKTN_e2AmCsJKq2WUw/o.jpg,False,https://www.yelp.com/biz/void-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,42,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.8,[],,,,4584.662883482383,41.93478,-87.716438,2937 N Milwaukee Ave,,,Chicago,60618,US,IL,"['2937 N Milwaukee Ave', 'Chicago, IL 60618']"
